species	plot	nitrogen	atribute	rust	p_mildew	d_mildew	l_spot	n_dmg_fung	mean_perc_dmg_fung	perc_leaves_dmg_fung	perc_dmg_fung	chewing	sucking	mining	n_dmg	mean_perc_dmg	n_leaves	perc_leaves_dmg	perc_dmg	date	comments
Lp	44	0	species_1	0	0	0	10	10	10	100	10	0	0	0	0	0	10	0	0	2022_spring	
Cb	44	0	species_2	0	0	0	1	1	5	10	0.5	1	2	0	2	5	10	20	1	2022_spring	
Ra	44	0	species_3	0	0	0	2	2	5	20	1	0	0	0	0	0	10	0	0	2022_spring	
Lp	44	1	species_1	0	0	0	3	3	5	30	1.5	0	0	0	0	0	10	0	0	2022_spring	
Cb	44	1	species_2	1	5	0	1	7	20	70	14	0	2	0	2	5	10	20	1	2022_spring	
Ra	44	1	species_3	0	0	0	3	3	5	30	1.5	0	0	0	0	0	10	0	0	2022_spring	
Fr	45	0	species_1	0	0	0	2	2	1	20	0.2	0	0	0	0	0	10	0	0	2022_spring	
Hl	45	0	species_2	0	0	0	7	7	10	70	7	0	0	0	0	0	10	0	0	2022_spring	
Sp	45	0	species_3	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	2022_spring	
Fr	45	1	species_1	0	0	0	1	1	5	10	0.5	0	0	0	0	0	10	0	0	2022_spring	
Hl	45	1	species_2	0	0	0	6	6	10	60	6	0	0	0	0	0	10	0	0	2022_spring	
Sp	45	1	species_3	0	0	0	3	3	1	30	0.3	0	0	0	0	0	10	0	0	2022_spring	
Be	46	0	species_1	0	0	0	10	10	5	100	5	0	4	0	4	5	10	40	2	2022_spring	
Lp	46	0	species_2	1	0	0	10	10	10	100	10	0	0	0	0	0	10	0	0	2022_spring	
Dc	46	0	species_3	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	2022_spring	
Be	46	1	species_1	0	0	0	10	10	1	100	1	0	0	0	0	0	10	0	0	2022_spring	
Lp	46	1	species_2	0	0	0	10	10	5	100	5	0	1	0	1	10	10	10	1	2022_spring	
Dc	46	1	species_3	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	2022_spring	
Fr	47	0	species_1	0	0	0	3	3	1	30	0.3	0	0	0	0	0	10	0	0	2022_spring	
Lp	47	0	species_2	0	0	0	9	9	5	90	4.5	0	0	0	0	0	10	0	0	2022_spring	
Pt	47	0	species_3	0	0	0	7	7	1	70	0.7	0	0	0	0	0	10	0	0	2022_spring	
Fr	47	1	species_1	0	0	0	3	3	1	30	0.3	0	0	0	0	0	10	0	0	2022_spring	
Lp	47	1	species_2	0	0	0	10	10	5	100	5	0	0	0	0	0	10	0	0	2022_spring	
Pt	47	1	species_3	0	0	0	4	4	1	40	0.4	0	0	0	0	0	10	0	0	2022_spring	
Pg	48	0	species_1	0	0	0	1	1	5	10	0.5	0	0	0	0	0	10	0	0	2022_spring	
Ra	48	0	species_2	0	0	0	3	3	1	30	0.3	0	0	0	0	0	10	0	0	2022_spring	
Pm	48	0	species_3	0	0	0	2	2	1	20	0.2	0	0	0	0	0	10	0	0	2022_spring	
Pg	48	1	species_1	0	0	0	1	1	1	10	0.1	1	0	0	1	5	10	10	0.5	2022_spring	
Ra	48	1	species_2	0	0	0	3	3	1	30	0.3	1	0	0	1	5	10	10	0.5	2022_spring	
Pm	48	1	species_3	0	0	0	0	0	0	0	0	1	0	0	1	5	10	10	0.5	2022_spring	
Pg	49	0	species_1	0	0	0	5	5	5	50	2.5	0	0	0	0	0	10	0	0	2022_spring	
	49	0	species_2																	2022_spring	
	49	0	species_3																	2022_spring	
Pg	49	1	species_1	0	0	0	2	2	5	20	1	0	3	0	3	5	10	30	1.5	2022_spring	
	49	1	species_2																	2022_spring	
	49	1	species_3																	2022_spring	
Sp	50	0	species_1	0	0	0	7	7	5	70	3.5	2	0	0	2	5	10	20	1	2022_spring	
	50	0	species_2																	2022_spring	
	50	0	species_3																	2022_spring	
Sp	50	1	species_1	0	0	0	3	3	1	30	0.3	0	0	0	0	0	10	0	0	2022_spring	
	50	1	species_2																	2022_spring	
	50	1	species_3																	2022_spring	
Cb	51	0	species_1	0	1	0	6	6	10	60	6	0	0	0	0	0	10	0	0	2022_spring	
	51	0	species_2																	2022_spring	
	51	0	species_3																	2022_spring	
Cb	51	1	species_1	0	8	0	1	8	40	80	32	0	0	0	0	0	10	0	0	2022_spring	
	51	1	species_2																	2022_spring	
	51	1	species_3																	2022_spring	
Dc	52	0	species_1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	2022_spring	
	52	0	species_2																	2022_spring	
	52	0	species_3																	2022_spring	
Dc	52	1	species_1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	2022_spring	
	52	1	species_2																	2022_spring	
	52	1	species_3																	2022_spring	
Fr	53	0	species_1	0	0	0	3	3	1	30	0.3	0	0	0	0	0	10	0	0	2022_spring	
	53	0	species_2																	2022_spring	
	53	0	species_3																	2022_spring	
Fr	53	1	species_1	0	0	0	3	3	5	30	1.5	0	1	0	1	1	10	10	0.1	2022_spring	
	53	1	species_2																	2022_spring	
	53	1	species_3																	2022_spring	
Hl	54	0	species_1	0	0	0	2	2	1	20	0.2	0	1	0	1	1	10	10	0.1	2022_spring	
	54	0	species_2																	2022_spring	
	54	0	species_3																	2022_spring	
Hl	54	1	species_1	0	0	0	3	3	1	30	0.3	0	0	0	0	0	10	0	0	2022_spring	
	54	1	species_2																	2022_spring	
	54	1	species_3																	2022_spring	
Lp	55	0	species_1	0	0	0	10	10	10	100	10	0	0	0	0	0	10	0	0	2022_spring	
	55	0	species_2																	2022_spring	
	55	0	species_3																	2022_spring	
Lp	55	1	species_1	0	0	0	5	5	1	50	0.5	0	1	0	1	5	10	10	0.5	2022_spring	
	55	1	species_2																	2022_spring	
	55	1	species_3																	2022_spring	
Pm	56	0	species_1	0	0	0	5	5	5	50	2.5	0	0	0	0	0	10	0	0	2022_spring	
	56	0	species_2																	2022_spring	
	56	0	species_3																	2022_spring	
Pm	56	1	species_1	0	0	0	2	2	1	20	0.2	0	2	0	2	1	10	20	0.2	2022_spring	
	56	1	species_2																	2022_spring	
	56	1	species_3																	2022_spring	
Pt	57	0	species_1	0	0	0	6	6	5	60	3	0	0	0	0	0	10	0	0	2022_spring	
	57	0	species_2																	2022_spring	
	57	0	species_3																	2022_spring	
Pt	57	1	species_1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	2022_spring	
	57	1	species_2																	2022_spring	
	57	1	species_3																	2022_spring	
Be	58	0	species_1	0	0	0	6	6	1	60	0.6	0	0	0	0	0	10	0	0	2022_spring	
	58	0	species_2																	2022_spring	
	58	0	species_3																	2022_spring	
Be	58	1	species_1	 -   	 -   	 -   	1	1	1	10	0.1	0	1	0	1	5	10	10	0.5	2022_spring	
	58	1	species_2																	2022_spring	
	58	1	species_3																	2022_spring	
Ra	59	0	species_1	0	0	0	2	2	1	20	0.2	0	0	0	0	0	10	0	0	2022_spring	
	59	0	species_2																	2022_spring	
	59	0	species_3																	2022_spring	
Ra	59	1	species_1	0	0	0	2	2	1	20	0.2	2	0	0	2	1	10	20	0.2	2022_spring	
	59	1	species_2																	2022_spring	
	59	1	species_3																	2022_spring	
To	60	0	species_1	0	2	0	6	7	5	70	3.5	0	2	0	2	5	10	20	1	2022_spring	
	60	0	species_2																	2022_spring	
	60	0	species_3																	2022_spring	
To	60	1	species_1	0	3	0	3	5	5	50	2.5	2	0	0	2	5	10	20	1	2022_spring	
	60	1	species_2																		
	60	1	species_3																		
